,yield
2013-11-24 00:00:00,0
2013-11-24 02:00:00,0
2013-11-24 04:00:00,0
2013-11-24 06:00:00,0
2013-11-24 08:00:00,0
2013-11-24 10:00:00,0
2013-11-24 12:00:00,0
2013-11-24 14:00:00,0
2013-11-24 16:00:00,0
2013-11-24 18:00:00,0
2013-11-24 20:00:00,0
2013-11-24 22:00:00,0
2013-11-25 00:00:00,0
2013-11-25 02:00:00,0
2013-11-25 04:00:00,0
2013-11-25 06:00:00,0
2013-11-25 08:00:00,0
2013-11-25 10:00:00,0
2013-11-25 12:00:00,0
2013-11-25 14:00:00,0
2013-11-25 16:00:00,0
2013-11-25 18:00:00,0
2013-11-25 20:00:00,0
2013-11-25 22:00:00,0
2013-11-26 00:00:00,0
2013-11-26 02:00:00,0
2013-11-26 04:00:00,0
2013-11-26 06:00:00,0
2013-11-26 08:00:00,0
2013-11-26 10:00:00,0
2013-11-26 12:00:00,0
2013-11-26 14:00:00,0
2013-11-26 16:00:00,0
2013-11-26 18:00:00,0
2013-11-26 20:00:00,0
2013-11-26 22:00:00,0
2013-11-27 00:00:00,0
2013-11-27 02:00:00,0
2013-11-27 04:00:00,0
2013-11-27 06:00:00,0
2013-11-27 08:00:00,0
2013-11-27 10:00:00,0
2013-11-27 12:00:00,0
2013-11-27 14:00:00,0
2013-11-27 16:00:00,0
2013-11-27 18:00:00,0
2013-11-27 20:00:00,0
2013-11-27 22:00:00,0
2013-12-14 00:00:00,0.146774661
2013-12-14 02:00:00,0.157568203
2013-12-14 04:00:00,0.157499552
2013-12-14 06:00:00,0.158288704
2013-12-14 08:00:00,0.173532769
2013-12-14 10:00:00,0.176650372
2013-12-14 12:00:00,0.161354947
2013-12-14 14:00:00,0.182763239
2013-12-14 16:00:00,0.165393064
2013-12-14 18:00:00,0.18204425
2013-12-14 20:00:00,0.144487119
2013-12-14 22:00:00,0.134341995
2013-12-15 00:00:00,0.130083975
2013-12-15 02:00:00,0.604496254
2013-12-15 04:00:00,0.15038794
2013-12-15 06:00:00,0.129487194
2013-12-15 08:00:00,0.12545721
2013-12-15 10:00:00,0.131302522
2013-12-15 12:00:00,0.147995748
2013-12-15 14:00:00,0.155613705
2013-12-15 16:00:00,0.163222218
2013-12-15 18:00:00,0.160352205
2013-12-15 20:00:00,0.164977639
2013-12-15 22:00:00,0.149864328
2013-12-16 00:00:00,0.144819436
2013-12-16 02:00:00,0.230035961
2013-12-16 04:00:00,1.186159851
2013-12-16 06:00:00,1.421204561
